custid,startlen,time,payleft,lagtest,cancelnow
6012,1,4,0,0,0
6012,1,5,0,0,0
6012,1,6,0,0,0
6012,1,7,0,0,1
6013,1,1,0,4,0
6013,1,2,0,4,0
6013,1,3,0,4,0
6013,1,4,0,4,0
6013,1,5,0,2,0
6013,1,6,0,4,0
6013,1,7,0,2,0
6013,1,8,0,1,0
6013,1,9,0,1,0
6013,1,10,0,0,0
6013,1,11,0,0,0
6014,12,1,11,4,0
6014,12,2,10,4,0
6014,12,3,9,4,0
6014,12,4,8,0,0
6014,12,5,7,4,0
6014,12,6,6,3,0
6014,12,7,5,4,0
6014,12,8,4,4,0
6014,12,9,3,3,0
6014,12,10,2,4,0
6014,12,11,1,4,0
6015,6,1,5,0,0
6015,6,2,4,0,0
6015,6,3,3,0,0
6015,6,4,2,0,0
6015,6,5,1,0,1
6016,1,1,0,0,0
6016,1,2,0,0,1
6017,6,1,5,4,0
6017,6,2,4,4,0
6017,6,3,3,0,0
6017,6,4,2,0,0
6017,6,5,1,0,0
6017,6,6,0,0,1
6018,12,1,11,4,0
6018,12,2,10,4,0
6018,12,3,9,4,0
6018,12,4,8,4,0
6018,12,5,7,4,0
6018,12,6,6,4,0
6018,12,7,5,4,0
6018,12,8,4,4,0
6018,12,9,3,4,0
6018,12,10,2,4,0
6018,12,11,1,4,0
6019,12,1,11,4,0
6019,12,2,10,4,0
6019,12,3,9,4,0
6019,12,4,8,4,0
6019,12,5,7,4,0
6019,12,6,6,4,0
6019,12,7,5,4,0
6019,12,8,4,4,0
6019,12,9,3,4,0
6019,12,10,2,4,0
6019,12,11,1,4,0
6020,1,1,0,4,0
6020,1,2,0,4,0
6020,1,3,0,4,0
6020,1,4,0,4,0
6020,1,5,0,0,0
6020,1,6,0,0,0
6020,1,7,0,0,0
6020,1,8,0,0,0
6020,1,9,0,0,1
6021,1,1,0,4,0
6021,1,2,0,4,0
6021,1,3,0,0,0
6021,1,4,0,0,0
6021,1,5,0,0,0
6021,1,6,0,0,0
6021,1,7,0,0,1
6022,12,1,11,0,0
6022,12,2,10,0,0
6022,12,3,9,0,0
6022,12,4,8,0,0
6022,12,5,7,0,0
6022,12,6,6,0,1
6023,6,1,5,4,0
6023,6,2,4,0,0
6023,6,3,3,0,0
6023,6,4,2,0,0
6023,6,5,1,0,0
6023,6,6,0,0,1
6024,12,1,11,4,0
6024,12,2,10,4,0
6024,12,3,9,4,0
6024,12,4,8,4,0
6024,12,5,7,4,0
6024,12,6,6,4,0
6024,12,7,5,4,0
6024,12,8,4,4,0
6024,12,9,3,4,0
6024,12,10,2,4,0
6024,12,11,1,4,0
6025,6,1,5,4,0
6025,6,2,4,4,0
6025,6,3,3,4,0
6025,6,4,2,4,0
6025,6,5,1,4,0
6025,6,6,0,4,0
6025,6,7,5,4,0
6025,6,8,4,4,0
6025,6,9,3,4,0
